Nom,Ville,Quartier,Type d'activité,Description,lieux/site,Commentaire
やゝ 京都 (Yaya kimono),Kyoto,Higashiyama,Magasin,Magasin de kimono réputé,https://maps.app.goo.gl/4nAChiUBcKQHNLNo8,Large collection de kimono antique (ère showa +/- 100 ans) et kimono moderne. moins fournis pour les hommes. ~240€ pour kimono homme
Modoribashi Shashinkan,Kyoto,Kamigyo,Magasin,Magasin de kimono et d'antiquité,https://maps.app.goo.gl/29MjhnoZniavBfy66,
Gora Kansuiro,Hakone,Hakone,Hotel,Ryokan près de la gare de Hakone,https://maps.app.goo.gl/T1CYLDZAUV7WKmAr9,"Grand ryokan calme. 2 onsen, 1 en interieur et l'autre dans le grand parc privé. Chambre très spacieuse avec un service parfait. Repas excellent (diner et petit déjeuné compris) et diversifié"
Hakone Ropeway Owakudani Station,Hakone,Ashigarashimo,Autre,Visite des fumeroles du volcan de hakone,https://maps.app.goo.gl/1j3N6tF7LwQhLLGp8,Un peu de monde en journée. Attraction principale d'hakone. Belle vue sur la campagne et sur le mon fuji quand il fait beau).
Gokayama,Nanto,Nanto,Autre,Village traditionnel classé au patrimoine mondial de l'humanité,https://maps.app.goo.gl/viYsUjAmvoJcTosd6,Village perdu au milieu du japon. Son architecture à inpiré plusieur Ghibli
Enoshima island,Fujisawa,Kanagawa,Autre,"île shinto sacrée, de nombreux temple et grottes à visité ainsi que des plages",https://maps.app.goo.gl/7eg3cVhLpg1yXK8a9,
Shiogama Bay,Shinogama,-,Autre,"Baie proche de Sendai, le thon est très réputé. paysage type baie ha long (mais en moins bien)",https://maps.app.goo.gl/iuY36kAvFaboGqKo7,
Koshoji inari,Kyoto,Uji,Temple,Temple très ancien proche d'un point de vue sur Uji et Kyoto,https://maps.app.goo.gl/aknJVDs4uC2k21wx8,
Aji-Tasuke Branch,Sendai,Aoba,Restaurant,recommandation des locaux pour manger de la langue de boeuf,https://maps.app.goo.gl/qgU2bGhFDJdGqQnQ6,
Karakimokkou,Saitama,Kawagoe,Magasin,Magasin de baguette où on peut faire soit même ces baguettes,https://maps.app.goo.gl/4kAJrckwug1hYCSP8,
Sakimoto bakery,Osaka,Naniwa,Magasin,Boulangerie qui propose du pain à la pistache (aussi à Tokyo),https://maps.app.goo.gl/amPZJ8hLJJSpgmQm7,
Sunshine city,Tokyo,Ikebukuro,Magasin,Mall orienté weeb,https://maps.app.goo.gl/8qRXJ7RpyNbsjy6F6,
Iroha buffet,Tokyo,Koto,Restaurant,très bon restaurant de poisson et fruit de mer (cher),https://maps.app.goo.gl/SyBt3qJDgUhuLpHm6,
Kama-daru Falls (7),Kawazu,Kamo,Autre,"Onsen en pleine nature avec une cascade. Mixte, maillot de bain et tatouage autorisé",https://maps.app.goo.gl/kQkPnebCirBweXQs9,
Minoringo,Tokyo,Shibuya,Restaurant,Bon restaurant de curry à harajuku,https://maps.app.goo.gl/ukZK6MLL4iSfDcNc8,
Ponshukan,Yuzawa,Minamiuonuma,Bar,"Situer dans la gare d'Echigo-Yuzawa, plus d'une centaine de saké à déguster",https://maps.app.goo.gl/ExD2JXbGmmDFJPUo8,
Shabu-Shabu Lettuce Shibuya Center Gai Store,Tokyo,Shibuya,Restaurant,shabu shabu à volonté (2h 3600¥ - 9900¥),https://maps.app.goo.gl/MgFf2PZU5xexwwoq6,
Kusatsu Onsen,Kusatsu,Agatsuma,Autre,Station thermale très reputé,https://maps.app.goo.gl/9CXKj4hL4cjC8EMZ8,
Mochizen,Nara,Minamimachi,Restaurant,Restaurant de mochi classique et moderne. Possibilité de réserver une activité pour faire ces mochi avec des méthodes ancienne,https://maps.app.goo.gl/kFGHX8ckyXXgoiNU7,
Todoroki Ravine Park,Tokyo,Setagaya,Autre,1km de ravin dans un parc magnifique,https://maps.app.goo.gl/L7To26TKNKAzgyzY6,
Kifune-jinja,Kyoto,Sakyo,Temple,Temple sur le flanc de la montagne kurama assez excentré de kyoto,https://maps.app.goo.gl/RNRU1tcdTkN3J5rg8,
Yasuke Tsurube Sushi Restaurant,Nara,Yoshino,Restaurant,Plus vieux restaurant de sushi de nara (5k midi et 7k soir),https://maps.app.goo.gl/NkZSJBtXKusqVKAs7,
Tototo,Tokyo,Nakano,Restaurant,Pizza style tokyo,https://maps.app.goo.gl/qVGtB6E5G2c1BL6R8,
Kurama-dera,Kyoto,Sakyo,Temple,Temple accessible en téléphérique,https://maps.app.goo.gl/T1yPmHjJD8xbdvVU9,
Daimonjiyama,Kyoto,Sakyo,Autre,Point de vue sur tout Kyoto pas trop fréquenté,https://maps.app.goo.gl/QQ6uUaDVYN8Riypy9,
Enryaku-ji,Otsu,Shiga,Temple,Temple situer entre Otsu et Kyoto avec un circuit de rando tranquille,https://maps.app.goo.gl/S7JkRFvtr5Z3tiuN8,
Yugeta Soy Sauce,Saitama,Sakano,Magasin,Magasin principale de sauce soja yugeta. Possibilité de gouter une glace à la sauce soja,https://maps.app.goo.gl/KzUcvKeXqo7iLURS8,
Sanjusangendomawari,Kyoto,Higashiyama,Temple,Temple avec une centaine de statue de boudda avec des visages différents,https://maps.app.goo.gl/8w81MCmHaTgh4saGA,
TACOS 3HERMANOS HARAJUKU,Tokyo,Shibuya,Restaurant,Restaurant de tacos mexicain à harajuku,https://maps.app.goo.gl/fzfpb5o9pD9ic6pHA,
Sushi Atsuya,Osaka,Abeno,Restaurant,restaurant de sushi qui utilise un riz naturelement moins sucré (réservation obligatoire ~11k),https://maps.app.goo.gl/tW3fnthNyUrcDMy28,
大徳壽TOKYO 六本木けやき坂,Tokyo,Roppongi,Restaurant,Yakiniku de luxe,https://maps.app.goo.gl/4GdmodKqetv4MSNa9,
Meguro Gajōen,Tokyo,Meguro,Hotel,Hotel musée qui propose des expositions magnifique périodiquement à prix abordable(?),https://maps.app.goo.gl/JTFtdfDz8iWpnMr48,
Sushi Shiina,Tokyo,Chiyoda,Restaurant,Plutôt abordable et le chef parle anglais,https://maps.app.goo.gl/S6Nm5A1QqykN1zwy8,
Ebimaru ramen,Tokyo,Chiyoda,Restaurant,Ramen au humard (et des plus classique),https://maps.app.goo.gl/QLJXfdu9cVjTsXoo6,
Madume Ochanomizu,Tokyo,Chiyoda,Restaurant,Izakaya spécialisé dna le poisson,https://maps.app.goo.gl/53LoRgRCYsVMuRb56,
Washoku Daikoku Kawagoeten,Saitama,Kawagoe,Restaurant,restaurant spécialisé dans les anguilles en pêche raisonée,https://maps.app.goo.gl/8nQ89YVQMxeVwtog6,
Inamura,Tokyo,Katsushika,Restaurant,Comptoir à tempura,https://maps.app.goo.gl/bM6kYJoeEeLM5JFJ7,
Kanadaya,Tokyo,Ginza,Restaurant,Magasin de mochi aux fruits de luxe (~1000),https://maps.app.goo.gl/g16cYQTKaChQ7kFh6,
Tsuru Ton Tan Shibuya,Tokyo,Shibuya,Restaurant,Chaine de udon haut de gamme,https://maps.app.goo.gl/yALAgdAX9sP17Ewd8,
Hachinoki Kita-Kamakura Shinkan,Kamakura,Kanagawa,Restaurant,Restaurant haut de gamme de cuisine traditionnel,https://maps.app.goo.gl/91N3wt2AJLaDusor6,
Café Lounge Pandora,Tokyo,Meguro,Restaurant,Café lounge près du musé hotel Gajoen,https://maps.app.goo.gl/Y5cegoAd5EPMsuc97,
Yamato tei,Tokyo,Katsushika,Salon de thé,Maison de macha dans une vieille maison traditionnelle avec un jardin japonnais qui à une partie musée,https://maps.app.goo.gl/VjDXd8ysEd2c9nAf6,
Yakiniku aging beef,Tokyo,Shinjuku,Restaurant,yakiniku (un peu cher) de viande wagyu maturé,https://maps.app.goo.gl/fSDvnjH9LR4TNfjp9,
Kan ei dō,Tokyo,Meijiro,Confiserie,Confiserie traditionnel et salon de thé,https://maps.app.goo.gl/5qRBHn1ZsHoRjwY58,
Hakata Genki Ippai!!,Fukuoka,Hakata,Restaurant,"Ramen ""caché"" (chercher le sceau bleu) dans le guide michelin. Spécialisé dans le tonkutsu (bouillon crémeux et au porc)",https://maps.app.goo.gl/C8iFwvamvtnrRdNCA,
Shirakawa-gō,Shirakawa-gō,Shirakawa-gō,Autre,Village réputé pour sont thé avec possibilité de récolté et de traité soit même le thé,https://maps.app.goo.gl/3qWjYWbzBAxAu6RCA,
Musée d'architecture en plein air d'Edo-Tokyo,Tokyo,Koganei,Musée,Musée en plein air reproduisant un japon de l'ère edo,https://maps.app.goo.gl/DpxoE5oBWWEwz98t9,
Panel Cafe Kyoto,Kyoto,Higashiyama,Restaurant,Café connu pour son fluffy pancake à la crème brulé de match (longue attente ~1h),https://maps.app.goo.gl/ropWaTcQfSMGyewX7,
Eikan-dō Zenrin-ji,Kyoto,Sakyo,Temple,Temple peu visité avec une vue sur kyoto et un petit lac,https://maps.app.goo.gl/iPvmH9agcuR8M117A,
Shiretoko National Park,Hokkaido,Hokkaido,Parc,Parc nationnal avec une faune et flore rare,https://maps.app.goo.gl/RiWmS5yia3k3KKk96,
Kamikōchi,Matsumoto,Matsumoto,Parc,Parc nationnal des Alpes japonnaise,https://maps.app.goo.gl/RcweU55sDfuz1NVx7,
Kōenji,Tokyo,Suginami,Autre,Quartier populaire retro. Connu des amateurs de frippes,https://maps.app.goo.gl/JKLLQ8KE4aMB7KfWA,
Nikujiru Gyoza Dandadan Higashiueno,Tokyo,Taitou,Restaurant,izakaya spécialisé dans gyoza,https://maps.app.goo.gl/478xGGwCpmXkga4Y7,
Nakagawa River Cruise,Fukuoka,Chuo,Activité local,Croisière sur la rivière Nakagawa (à faire plutot de nuit),https://maps.app.goo.gl/3DZms9Bxm1jTezPTA,
Dazaifu Tenman-gū,Fukuoka,Dazaifu,Temple,Temple dédier au dieu de l'apprentissage,https://maps.app.goo.gl/PrLxCXc71koUfeen9,
Motonosumi Inari Shrine,Yamaguchi,Yuyatsuo,Temple,Temple au bord de mer,https://maps.app.goo.gl/LF5f5apbPFtxrcMf9,
Tochoji,Fukuoka,Hakata,Temple,Temple au milieu de fukuoka avec un grand buddha en bois,https://maps.app.goo.gl/z4ZSFsgXcUBV3ZL87,
KENZO cafe,Fukuoka,Hakata,Restaurant,Petit restaurant de ramen 3 étoiles Kitanamichelin,https://maps.app.goo.gl/cFnH97V6fuhC8K5w7,
Nakasu Yatai Yokocho,Fukuoka,Hakata,Autre,Rue commercante spécialisé dans les stands de street food,https://maps.app.goo.gl/kRtuQxHqym7eb8T1A,
Château de Fukuoka,Fukuoka,Chuo,Autre,Chateau en ruine avec un grand jardin,https://maps.app.goo.gl/JekZU9V4n1WfQyV88,
Motsunabe Yamanaka Honten,Fukuoka,Minami,Restaurant,Restaurant semi-gastronomique spécialisé dans le motsu nabe,https://maps.app.goo.gl/1F4JAtErLhCuo6B4A,
Koishikawa Kōraku-en,Tokyo,Bunkyo,Autre,Jardin datant du XVIIème,https://maps.app.goo.gl/77yjS9GbEuChJ1v88,
BOOKOFF SUPER BAZAAR SEIYU Omori Store,Tokyo,Shinagawa,Magasin,Librairie (et pas que) avec des occasions,https://maps.app.goo.gl/TZcNrMNQJa9RM4kH6,
いづ美,Tokyo,Nakagawa,Restaurant,Petit restaurant de quartier avec un menu qui change régulièrement,https://maps.app.goo.gl/QTt6SYS9cGoXjLbx5,
Atsuta-jingū,Nagoya,Atsuta,Temple,Temple recueillant une épée sacré,https://maps.app.goo.gl/qepc85pGNRe9GhuZ7,
Terraced Rice Fields of Hamanoura,Genkai,Higashimatsuura,Autre,Champs de riz en terrance,https://maps.app.goo.gl/CJ4suK4UkJx6GRoF9,
Inabeshi Agriculture Park,Inabe,Mie,Autre,Grand jardin botanique en campagne,https://maps.app.goo.gl/KDpYu2FeiypysL41A,
Mont Tanzawa,Kurokura,Ashigarakami,Autre,"Montagne comprenant des sentiers de randonnée et des refuges de montagne, cet imposant sommet offre une vue panoramique sur la campagne.",https://maps.app.goo.gl/R6Nmo1bbs41yqK3UA,
Temple bouddhiste Otagi Nenbutsuji,Kyoto,Ukyo,Temple,Temple bouddhiste fondé au VIIIe siècle comprenant plus de 1 200 têtes en pierre dans ses jardins.,https://maps.app.goo.gl/d98H28vJ68xu51B58,
TCG / BOARD GAME Cafe & Bar FUN 八重垣ビル地下1階店,Tokyo,Taitou,Autre,Bar de jeu de société et de cartes qui font des cocktails custom en fonction des cartes montré,https://maps.app.goo.gl/yQoNWQaQn7nSWbvp8,
Mount Tenpō,Osaka,Minato-city,Autre,"Plus petite montagne du japon. Demandez le certificat après avoir ""gravit"" la montagne dans les commerces environnant",https://maps.app.goo.gl/wSzFXD5XKu5a6kKE6,
鰻の成瀬 嵐山店,Tokyo,Ukyo,Restaurant,Restaurant spécialisé dans l'anguille,https://maps.app.goo.gl/Ny29pJqP5rYmR2ES6,
Nishijin Textile Center,Kyoto,Kamigyo,Magasin,Magain de textile de qualité avec possibilité de réserver des activiter pour fabriquer du tissu/écharpe,https://maps.app.goo.gl/Zd5Cf6DTvaWWtgW47,
Bunbuku,Kobe,Chuo,Restaurant,Restaurant spécialisé dans le Chazuke,https://maps.app.goo.gl/34MLBQYtR4fPxSb79,
MIRAI SAKE / KUBOTA SAKE BAR,Tokyo,Shibuya,Bar,Bar à saké avec dégustation de plusieurs types de saké et profillage par IA,https://maps.app.goo.gl/wQcFejQGczh5rdfs5,
Fandom Akiba,Tokyo,Akihabara,Magasin,Magasin de goodies d'animé et de Vtubeur (pas de jugement),https://maps.app.goo.gl/7vLnyvmLyyv5qxNy9,
Udon Shin,Tokyo,Shibuya,Restaurant,Très bon restaurant de udon,https://maps.app.goo.gl/MBEVYnFG3vkrm5EH7,
Via Meidaimae,Tokyo,Setagaya,Autre,Petit easter egg pour les weebs,https://maps.app.goo.gl/Y8n4hVEwdx4hYU5f6,
Onigiri Gorichan,Osaka,Kita,Restaurant,Restaurant d'onigiri XXL (référentiel konbini),https://maps.app.goo.gl/MPWy1kt7F6SVxwY58,
Sankei-en,Yokohama,Naka-ku,Batiment,Des bâtiments historiques de tout le pays jalonnent ce jardin japonais traditionnel ouvert au public en 1906,https://maps.app.goo.gl/5vbrdfCLKjfizbaN9,
Fukujuen Uji (Uji Tea Factory),Kyoto,Uji,Activité local,"Usine de thé où l'ont peu boire et mangé ainsi que réserver des activité comme la création de matcha, hojicha, ...",https://maps.app.goo.gl/v3Je6nV1Ae8URs1FA,
Himawari Sushi,Tokyo,Shinjuku,Restaurant,Restaurant de sushi avec un bon rapport qualité prix,https://maps.app.goo.gl/MZ5cFwDPB13KQPBm6,
Unnamed Ramen Restaurant,Kyoto,Nakagyo,Restaurant,Restaurant de ramen sans nom (sans panneau d'indication). connu pour le ramen au boeuf,https://maps.app.goo.gl/CVrJKfR3Uo5nSCNt7,
Amabikisan Rakuhōji (Amabiki Kannon),Sakuragawa,Ibaraki,Temple,Temple des canards (plein de canard) et des paons,https://maps.app.goo.gl/3CuSNuRANHQTt7ku7,pour les connoisseurs
Tokaikan,Ito,Higashimatsubaracho,Batiment,Ancien ryokan réabilité en musé,https://maps.app.goo.gl/rpv7EHFuKibq8uSf8,
watashino,Tokyo,Taitou,Activité local,Atelier pour faire du papier Tosa washi,https://maps.app.goo.gl/gVfFvuXyZbqunxKy9,
Karamenya masumoto 元祖辛麺屋桝元 下北沢店,Tokyo,Kitazawa,Restaurant,Connu pour son ramen épicé,https://maps.app.goo.gl/PtP4wsNTQdqkeFNY9,
Orinami Asakusa,Tokyo,Asakusa,Activité local,"Visite d'une fabrique de Omamori + fabrication (3,300 yen)",https://maps.app.goo.gl/BJnwUeHpWAwByCWS9,voir le compte insta @orinami_asakusa
Shinsaibashi PARCO,Osaka,Chuo,Magasin,"centre commercial orienté geek/weeb (pokécenter, lego, capcom, ghibli, ...)",https://maps.app.goo.gl/BRhzRUkB9CnLQucf8,
Akihabara Gachapon Hall,Tokyo,Akihabara,Magasin,Magasin spécialisé dans les gachapons,https://maps.app.goo.gl/pm54S8v3Whj7QMJu8,
Mister Donut,Tokyo,Akihabara,Restaurant,Chaine de restaurant de donut,https://maps.app.goo.gl/7tJhMYDGkJeBiYvB8,pour faire le pélerinage du pon de ring (fermé récemment)
Moyan Curry Ribingu,Tokyo,Shinjuku,Restaurant,buffet de cury qui à une carte Yu-Gi-oh à son nom,https://maps.app.goo.gl/drTVddmUWkcvHS1TA,
Brisk Stand Asakusa,Tokyo,Taitou,Restaurant,un des meilleurs burger du japon (source : tkt)(aussi à kobe) burger coupé en deux et re griller pour plus de texture,https://maps.app.goo.gl/8UwgvMeoxiduFjeJ8,
Kome Dorobou,Osaka,Naniwa,Restaurant,Osaka chicken nanba (poulet frit avec sauce tartare),https://maps.app.goo.gl/YSMgiPpsnpeBikTe6,
Menchirashi,Tokyo,Shibuya,Restaurant,Tokyo udon carbonara,https://maps.app.goo.gl/V5Z3p81LKiq3xiJ26,
Tonkatsu Marushichi | Monzen-nakacho,Tokyo,Koto,Restaurant,Spécialisé dans le tonkatsu (porc pané) épais,https://maps.app.goo.gl/Auh2Uu5Az39m1c8B6,
Tatsumi-shindo,Tokyo,Koto,Autre,Petite rue comme goldenkai (plein de petit resteaurant et de bar),https://maps.app.goo.gl/bg4aB2MqXCdE6DnX8,
Age.3,Tokyo,Chuo,Restaurant,Spécialisé dans les sandwich dessert,https://maps.app.goo.gl/gtUAh4of8g8B7ykt8,
Tsuzuki,Nagoya,Nakamura,Salon de thé,Café ambience fleurie avec des café du monde,https://maps.app.goo.gl/3dHHJhgMhXkTtkJj9,
Engaku-ji,Kamakura,-,Temple,complexe bouddhiste avec un goshuin sur du bois,https://maps.app.goo.gl/jB8mpS7cByP2MBMK7,
Osaka Prefectural Sayamaike Museum,Osaka,Osakasayama,Musée,Musée sur l'histoire de l'architecture de l'irrigation au Japon designer par Tadao Ando qui à reçus un prix Pritzker en architecture ,https://maps.app.goo.gl/AAwoSQEzEQw68byd8,
Sayama Pond,Osaka,Osakasayama,Parc,Plus vieux réservoir d'eau du japon (7ème siècle),https://maps.app.goo.gl/HZ1yZur2cKRhwDcx8,
"Susuruka, Susuranka",Nara,Minamijodocho,Restaurant,Ramen fusionné au mapotofu (plat typique du Sechuan en chine) avec portion fromage grillé,https://maps.app.goo.gl/sW77NytRVNaeqbrP7,
Choushiya,Tokyo,Ginza,Restaurant,Spécialisé dans les koroke (depuis 1927) et les sandwich de koroke,https://maps.app.goo.gl/JZdE5rDDVbtNojYq5,
ICON,Tokyo,Shibuya,Restaurant,"Burger experimentaux (mac'n cheese, ananas, ...)",https://maps.app.goo.gl/uL1WHEERRdd83tRP6,
Yayoiken,Tokyo,Shinjuku,Restaurant,Chaine de fast food de plat japonais,https://maps.app.goo.gl/Geb3K8PxqB2dHvZ36,
Tokura,Kyoto,Minami,Restaurant,Hanbagu hyper juteux (aussi à nakagyo),https://maps.app.goo.gl/sNip3bdKtsmu4wVN6,
Naganoya,Kobe,Chuo,Restaurant,Kobe soba curry,https://maps.app.goo.gl/B8X5ENy5JVRqAcKu7,
Shin Shin,Fukuoka,Chuo,Restaurant,Très connu pour leur ramen type Hakata (plusieurs restaurant dans fukuoka),https://maps.app.goo.gl/r4H2hng6S7ij9jiS8,
Katsuō-ji,Osaka,Aomatani,Temple,"Temple de daruma, avec plusieurs tampon a collectionner pour formé une image",https://maps.app.goo.gl/1QVHBaUZ2s9cy39w6,
Taikenkobowaraku,Kyoto,Higashiyama,Activité local,"Activité d'artisanat d'épingle à cheveux, baguette, boucle d'oreille, encens,...  possibilité de juste acheter les produits fini",https://maps.app.goo.gl/pofvsLRRt5kMJVEr8,
Chikuyotei Ginza,Tokyo,Ginza,Restaurant,restaurant spécialisé dans l'anguille et la daurade. le personnel est désagréable et raciste (surtout envers les asiatiques non japonais),https://maps.app.goo.gl/7NCVZ5PQMW4pCkPD6,
Ebisu banh mi bakery,Tokyo,Shibuya,Restaurant,meilleur banh min de tokyo,https://maps.app.goo.gl/AuUzCPSrus2TTS3L7,
Tsukumo Ramen Ebisu Honten,Tokyo,Shibuya,Restaurant,Connu pour des ramen avec une montagne de fromage,https://maps.app.goo.gl/bkd9oiZPBnPyfnmx5,
Mijinco Coffee,Tokyo,Bunkyo,Salon de thé,Café avec une meilleure version des fluffy pancakes,https://maps.app.goo.gl/zwksfvbShQd4wPqY9,
Tosakko Ramen,Tokyo,Toshima-city,Restaurant,Spécialité Ramen au gras,https://maps.app.goo.gl/fKZpksdt4CexiTWG6,
Menmen,Tokyo,Nerima,Restaurant,Spécialité ramen au karaage (karaagemen),https://maps.app.goo.gl/LW2BnErw6Lo75zu56,
fullcomp,Tokyo,Akihabara,Magasin,Chaîne de magasins de TCG ,https://maps.app.goo.gl/qWjHeRs5MNCHELuL8,
Tonkatsu Daiki,Osaka,Chuo,Restaurant,Spécialité tonkatsu épais,https://maps.app.goo.gl/8PddvG6VaMsNfhWL9,
Ippudo,Osaka,Naniwa,Restaurant,Chaine de restaurant de ramen pour les introverti (comme ichiran mais en mieux et moins remplis),https://maps.app.goo.gl/EReiJNNFeNokwmnp9,
Usagi,Tokyo,Shibuya,Restaurant,Connu pour son tantanmen,https://maps.app.goo.gl/rcY2SShq2nGx999A8,
Ramen Kousagi,Tokyo,Toshima-city,Restaurant,Filliale de Usagi mais moins fréquenté,https://maps.app.goo.gl/v1sD1AQwVBL6dLxy8,
Marucho,Tokyo,Shinjuku,Restaurant,Soba tsukemen,https://maps.app.goo.gl/qUiN5citiDCENFsMA,
Soupless Tantanmen Piriri Akihabara Store,Tokyo,Akihabara,Restaurant,Mapo tofu tantanmen,https://maps.app.goo.gl/5UyDhDCMZcJC3FAU6,
Akashiyaki Tsukasa,Tokyo,Chuo,Restaurant,Akashiyaki (sorte de takoyaki sans sauce à tremper dans du dashi),https://maps.app.goo.gl/m373cnY2S67d3JCx6,
cafe dalcomhada,Tokyo,Shinjuku,Restaurant,Patisserie en forme d'animaux (dont le fameux gateau au citron canard),https://maps.app.goo.gl/APQQdEqKgb6d3xiNA,
Shiodome,Tokyo,Minato-city,Autre,Bibidiba,https://maps.app.goo.gl/prPQskYT5itVxxd39,
PAPABUBBLE パパブブレ,Osaka,Chuo,Magasin,Magasin de bonbon fait main frais,https://maps.app.goo.gl/gAhSAgegF7LugNkj7,
Tsukemen Gonokami Seisakusho Shinjuku,Tokyo,Shinjuku,Restaurant,Tsukemen aux bouillon crevette,https://maps.app.goo.gl/RBcG1yU9YzCJgpoc8,meilleur tsukemen de ma vie
Nashimura coffee,Kobe,Chuo,Salon de thé,Salon de thé à l'européenne,https://maps.app.goo.gl/nTgZyEBWvVk1GxXs9,très bonnes patisserie et ambiance calme
Kobe beef steak Tramatsu no nikutarashi,Kobe,Chuo,Restaurant,Petit restaurant de boeuf de kobe certifié,https://maps.app.goo.gl/Z776C5wi3MJUEdWK9,Viande excellente e un peu moins cher qu'ailleurs
K-books Namba-ichibankan,Osaka,Naniwa,Magasin,Magasin de manga et de merch de weebs au coeur de Denden ,https://maps.app.goo.gl/jfu4SR4FhXYgsC7X6,très bon endroit pour trouvé du vieux merch de vtuber et du merch d'occasion
Nipponbashi Denden Town,Osaka,Naniwa,Autre,"Quartier de l'électronique, et geek d'Osaka. Equivalent à Akihabara de Tokyo",https://maps.app.goo.gl/QAvXCs95BCud9coGA,
Château d'Osaka,Osaka,Chuo,Musée,"Célèbre château datant de 1597, reconstruit depuis, avec des jardins et un musée aux expositions variées.",https://maps.app.goo.gl/g7xAz1jfbtTasSGF7,
Nakanoshima Park,Osaka,Kita,Parc,"Premier parc public d'Osaka fondé en 1891, comprenant une bibliothèque, une roseraie et un musée de la Céramique.",https://maps.app.goo.gl/iVVqKtbbgLuZdTNx8,
Cascade de Minoo,Osaka,Minoh,Parc,"Cascade de 33 mètres entourée d'arbres à feuillage caduc, avec sentier de randonnée facile et nombreux bancs.",https://maps.app.goo.gl/U5qXci8BPyjCo3eaA,
Hoshida Park,Osaka,Katano,Parc,Parc de 100 hectar avec un pont suspendu à 50 mètre de haut long de 280m,https://maps.app.goo.gl/gTxRWDHFFYLhV39dA,
Musée national d'art,Osaka,Kita,Musée,"Musée d'Art souterrain avec boutique de souvenirs, présentant des œuvres d'artistes renommés sur différents supports.",https://maps.app.goo.gl/R9srG472oj1di2hu8,
Katsura Hanare かつら はなれ,Osaka,Kita,Restaurant,Restaurant de Kaiseki (dinner traditionnel),https://maps.app.goo.gl/PgePFLMb143ASEuZA,
Shitennoji,Osaka,Tennoji,Temple,"Temple bouddhiste restauré construit en 593, avec une pagode à 5 niveaux, des statues et des bassins peuplés de tortues.",https://maps.app.goo.gl/Pcm3nzJ6PGab3kV47,
Parks Garden,Osaka,Ninawa,Parc,Par architecturalement interressant,https://maps.app.goo.gl/KxsY2XX2C2LN5qfT9,
Aquarium Kaiyukan,Osaka,Minato-city,Musée,"Aquarium parmi les plus grands au monde, qui abrite notamment des espèces aquatiques arctiques et tropicales.",https://maps.app.goo.gl/82HZzKGvDHdRQQwG8,
Sennichimae Doguyasuji Shopping Street for cookware,Osaka,Chuo,Magasin,"Rue commerçante dédiée à la vente de produits ménagers, d'ustensiles de cuisine, de poterie et d'outils.",https://maps.app.goo.gl/82QezmvxaeMg1nt38,Très bon endroit pour acheter des couteau de cuisine
Jungle Fantastic Machinery Museum Mecha Store,Osaka,Ninawa,Magasin,Magasin spécialisé dans le merch de mecha,https://maps.app.goo.gl/HW7xxBBAMoB8fbBw6,
Kasuga-taisha,Nara,-,Temple,Temple des 1000 lanternes,https://maps.app.goo.gl/UdQff7EyC6uHvGLz7,
Shin Yakushi-ji,Nara,-,Temple,Temple bouddhiste du VIIIe siècle abritant des statues des Douze Généraux célestes.,https://maps.app.goo.gl/dnPxgg4MyYAGXJMo7,
Mugen Ramen,Osaka,Naniwa,Restaurant,Ramen génereux en viande,https://maps.app.goo.gl/HoNuW19xYBEbvoKi7,
Dontaku Doyama,Osaka,Kita,Restaurant,Restaurant d'okonomyaki qui sert des versions hiroshima et classique,https://maps.app.goo.gl/stDroT3eXTzTK5a59,
Katsudon Yoshibei Sannomiya Honten,Kobe,Chuo,Restaurant,Un des meilleurs Katsudon de Kobe,https://maps.app.goo.gl/cx9UUyhWfWctxJ1z7,
Uobei Abikoten,Osaka,Sumiyoshi,Restaurant,Chaine de restaurant de sushi sur tapis roulant avec des options de sushi à la viande,https://maps.app.goo.gl/dh2bqxErnmF2YpmTA,
OSAKA TONKATSU DOTONBORI restaurant,Osaka,Chuo,Restaurant,"Chaine de restaurant fondé par un ancien rikishi, spécialisé dans des morceau énorme de katsu",https://maps.app.goo.gl/uWg2QSWb2GHVgPvj7,
Yakiniku KITAN Minamisenba main store,Osaka,Chuo,Restaurant,Yakiniku connu pour son menu du midi varié et généreux en wagyu,https://maps.app.goo.gl/XkEJ9eqN2NKUSPNP7,
Kawafuku honten,Osaka,Chuo,Restaurant,Restauran de udon et tempura maison,https://maps.app.goo.gl/UaUC17WmL7fBBNdLA,
Osaka pork cutlet,Osaka,Chuo,Restaurant,Katsudon avec des tranche de katsu XXL,https://maps.app.goo.gl/csi6wAF8TGaLyG2s5,
grenier Umeda Store,Osaka,Kita,Restaurant,Patisserie spécialisé dans les feuilleté,https://maps.app.goo.gl/FhKhUnvMg1AzvfTo8,
Masahiko Ozumi Paris,Osaka,Chuo,Restaurant,Patisserie au de game spécialisé dans le trompe l'oeuil ,https://maps.app.goo.gl/9p5kG9rTRW4P5drS8,
Hozenji Yokocho,Osaka,Chuo,Autre,Ruelle remplis de petit restaurant,https://maps.app.goo.gl/Ns2ZoDKyYjf1CDs99,
Toyo,Osaka,Miyakojima,Restaurant,Izakaya spécialisé dans les sashimi et le poisson griller au chalumeau,https://maps.app.goo.gl/8UjuXiJ9FzWsqqUf7,
Mizutaki Iroha Soemoncho,Osaka,Chuo,Restaurant,Restaurant spécialisé dans les sukiyaki (~7000 yen),https://maps.app.goo.gl/ZcdLx919wE9vsrDv8,
